number,name,status
239,PEP 239 – Adding a Rational Type to Python,
242,PEP 242 – Numeric Kinds,
241,PEP 241 – Metadata for Python Software Packages,
237,PEP 237 – Unifying Long Integers and Integers,
238,PEP 238 – Changing the Division Operator,
236,PEP 236 – Back to the __future__,
235,PEP 235 – Import on Case-Insensitive Platforms,
233,PEP 233 – Python Online Help,
234,PEP 234 – Iterators,
232,PEP 232 – Function Attributes,
229,PEP 229 – Using Distutils to Build Python,
231,PEP 231 – __findattr__(),
230,PEP 230 – Warning Framework,
228,PEP 228 – Reworking Python’s Numeric Model,
227,PEP 227 – Statically Nested Scopes,
225,PEP 225 – Elementwise/Objectwise Operators,
226,PEP 226 – Python 2.1 Release Schedule,
223,PEP 223 – Change the Meaning of,
224,PEP 224 – Attribute Docstrings,
222,PEP 222 – Web Library Enhancements,
221,PEP 221 – Import As,
219,PEP 219 – Stackless Python,
218,PEP 218 – Adding a Built-In Set Object Type,
220,"PEP 220 – Coroutines, Generators, Continuations",
217,PEP 217 – Display Hook for Interactive Use,
216,PEP 216 – Docstring Format,
215,PEP 215 – String Interpolation,
214,PEP 214 – Extended Print Statement,
212,PEP 212 – Loop Counter Iteration,
213,PEP 213 – Attribute Access Handlers,
211,PEP 211 – Adding A New Outer Product Operator,
209,PEP 209 – Multi-dimensional Arrays,
210,PEP 210 – Decoupling the Interpreter Loop,
208,PEP 208 – Reworking the Coercion Model,
206,PEP 206 – Python Advanced Library,
205,PEP 205 – Weak References,
207,PEP 207 – Rich Comparisons,
10,PEP 10 – Voting Guidelines,
9,PEP 9 – Sample Plaintext PEP Template,
7,PEP 7 – Style Guide for C Code,
8,PEP 8 – Style Guide for Python Code,
6,PEP 6 – Bug Fix Releases,
5,PEP 5 – Guidelines for Language Evolution,
3,PEP 3 – Guidelines for Handling Bug Reports,
2,PEP 2 – Procedure for Adding New Modules,
4,PEP 4 – Deprecation of Standard Modules,
